,name,y_coord,orig_length,masked_length,trimmed_length,frac_to_frac_length,p10_frac,p10_trimmed
0,scan_h_1,-9.304578429580262,12.162936883642987,0.0,0.0,,,
1,scan_h_2,-8.804578429580262,12.162936883642987,0.0,0.0,,,
2,scan_h_3,-8.304578429580262,12.162936883642987,0.0,0.0,,,
3,scan_h_4,-7.804578429580262,12.162936883642987,0.0,0.0,,,
4,scan_h_5,-7.304578429580262,12.162936883642987,1.582084528221456,1.582084528221456,,,0.0
5,scan_h_6,-6.804578429580262,12.162936883642987,9.530182074590746,9.529423605684705,9.405505700304328,3.827545391720423,3.7777730836232815
6,scan_h_7,-6.304578429580262,12.162936883642987,11.362125217371663,11.143412083706652,8.994915000553233,1.7787827899447541,1.4358259283432955
7,scan_h_8,-5.804578429580262,12.162936883642987,12.162936883642987,12.114789255812148,11.473798713800848,1.830256964046345,1.7334185148887435
8,scan_h_9,-5.304578429580262,12.162936883642987,12.162936883642987,12.132937786536619,11.092960703023914,2.704417765747793,2.472608079577369
9,scan_h_10,-4.804578429580262,12.162936883642987,12.162936883642987,12.150078256003912,11.931975698032993,2.262827270462091,2.2222079093735925
10,scan_h_11,-4.304578429580262,12.162936883642987,12.162936883642987,12.151253193605676,11.477353271256224,2.8752273472878884,2.7157692687504453
11,scan_h_12,-3.8045784295802623,12.162936883642987,11.962571281763712,11.952062529328163,10.38604536862055,3.0810572132374734,2.677362164185293
12,scan_h_13,-3.3045784295802623,12.162936883642987,11.711903858060847,11.702570043227063,11.132754039239003,2.5151009266269555,2.3926368222171144
13,scan_h_14,-2.8045784295802623,12.162936883642987,11.951798864512412,11.917489556471683,10.618796316799202,2.1659705407112315,1.9299366608221664
14,scan_h_15,-2.3045784295802623,12.162936883642987,11.8167660375486,11.590671947712988,11.09887737931254,1.8019840490605359,1.725525499317259
