,semivariance,n_pairs,lag_bin
0,0.12179689485843766,180,20.58823529411765
1,0.1966796923800896,300,40.1764705882353
2,0.2368903638955446,481,59.76470588235294
3,0.2594275035605827,666,79.3529411764706
4,0.3221954812035804,902,98.94117647058825
5,0.4063726480323875,891,118.52941176470588
6,0.4597171367389661,1030,138.11764705882354
7,0.48547255225562935,1060,157.7058823529412
8,0.5781581601929632,1348,177.29411764705884
9,0.6289647884006276,1423,196.8823529411765
10,0.7100190081348043,1415,216.47058823529414
11,0.7248939641576572,1418,236.05882352941177
12,0.7466550626126652,1554,255.64705882352942
13,0.8730184072495693,1604,275.2352941176471
14,0.8606332706897719,1609,294.82352941176475
15,0.9903585531170287,1691,314.4117647058824
16,0.9552142723989516,1598,334.0
17,1.0985932082423933,1758,353.5882352941177
18,1.1383594996723434,1740,373.1764705882353
19,1.1729718735084604,1690,392.764705882353
20,1.1549631039353616,1885,412.3529411764706
21,1.1265060358947103,1739,431.9411764705883
22,1.1898682001522638,1801,451.5294117647059
23,1.180985932957842,1742,471.11764705882354
24,1.1606906508855208,1815,490.7058823529412
25,1.1544878513162342,1801,510.29411764705884
26,1.2209944188038317,1774,529.8823529411765
27,1.330239547739883,1707,549.4705882352941
28,1.2053797286001868,1724,569.0588235294118
29,1.2228404621361333,1817,588.6470588235295
30,1.1979222048609524,1677,608.2352941176471
31,1.1580397357335959,1803,627.8235294117648
32,1.193748819479817,1695,647.4117647058824
33,1.240486283707264,1710,667.0
34,1.2355713168397968,1670,686.5882352941177
35,1.1967013084302411,1682,706.1764705882354
36,1.145861458709249,1501,725.764705882353
37,1.0335448184861717,1330,745.3529411764706
38,1.0093877586144286,1386,764.9411764705883
39,0.9994192443310509,1314,784.529411764706
40,0.9287544851469122,1192,804.1176470588235
41,0.8366715994858345,1111,823.7058823529412
42,0.8178221742033069,998,843.2941176470589
43,0.8335007362479491,974,862.8823529411766
44,0.7458624388004085,864,882.4705882352941
45,0.8106379381340236,733,902.0588235294118
46,0.7603305877117416,689,921.6470588235295
47,0.7732217801144328,612,941.2352941176471
48,0.7039984823828437,489,960.8235294117648
49,0.7215281871238031,379,980.4117647058824
